year,mean,max,min,area
1993,2.7594341614394895,7.989951481595636,0.3557772125862539,California State Waters
1994,2.3379604289501086,7.415343586672098,0.27898395583266394,California State Waters
1995,1.8805168504333334,6.696046398561446,0.24233516310341655,California State Waters
1996,2.078582345092746,6.3723490540497005,0.3050990455783904,California State Waters
1997,2.41393910646177,6.822204751577228,0.32848952278494836,California State Waters
1998,2.044616771752245,6.31473508566618,0.3268466284917667,California State Waters
1999,2.1296492425728,6.872789067272097,0.24951755851274351,California State Waters
2000,2.4539540058224416,6.680888874474912,0.25818669409491124,California State Waters
2001,2.0369385532843483,6.947392621915788,0.2512777182040736,California State Waters
2002,2.6451784389979847,7.264377587605268,0.28754613869823514,California State Waters
2003,2.0835238080878815,5.8630927175097165,0.2578093902068213,California State Waters
2004,2.614357449919446,6.927850657645613,0.3777075865492225,California State Waters
2005,2.8630993783328167,7.795021723043173,0.3490629052650183,California State Waters
2006,1.9811810624666077,6.967786396332085,0.2319573489297181,California State Waters
2007,1.7380946864080633,5.595788058079779,0.21802090724930165,California State Waters
2008,2.4797495861363346,7.119231680948285,0.35233865598216657,California State Waters
2009,2.69687314391771,6.744975363202392,0.4250792371854186,California State Waters
2010,2.602417601176157,7.676506875734776,0.39632960843853643,California State Waters
2011,2.2635011798341687,6.888435194119811,0.2914098913175985,California State Waters
2012,2.481781202432846,7.261806182265283,0.3487996468925849,California State Waters
2013,2.1118738781670388,6.250471670608967,0.2337334382347763,California State Waters
2014,2.634312894836501,7.159380713496357,0.3321956945303828,California State Waters
2015,1.9499474808217585,6.367889939937741,0.28068723862525075,California State Waters
2016,2.6067308573372667,7.451556635256858,0.3226556875370443,California State Waters
2017,2.5899558016965827,7.338448167722672,0.38067345754243426,California State Waters
2018,2.592098166075908,7.718548238147051,0.35167314860969784,California State Waters
2019,2.518498803357932,8.084692785758525,0.3179017616109923,California State Waters
2020,2.87940589741427,8.481478846259416,0.3694696589186787,California State Waters
2021,1.7013783581674358,5.814136048033834,0.1972817365452647,California State Waters
2022,2.236486774510355,6.786034395527095,0.2832375792972744,California State Waters
2023,1.979049555010404,5.912124637439848,0.217709678390529,California State Waters
2024,2.787290726030762,7.312203776612878,0.34954817029647534,California State Waters
2025,1.7113853001484844,5.3684541790559885,0.2665268775820732,California State Waters
2026,2.687730289129331,7.4988262842409315,0.3194880803488195,California State Waters
2027,2.6135947711583514,7.735685999467967,0.3233351344475523,California State Waters
2028,2.3640644642549713,7.028020428251476,0.2927407379914075,California State Waters
2029,2.353284715604881,6.668229955509305,0.30688420825637874,California State Waters
2030,2.2335445815202872,6.948904023133218,0.25136011081747706,California State Waters
2031,2.4286274330925077,7.375314326398075,0.29910002405289565,California State Waters
2032,2.9631005604147616,7.524527612607926,0.3926403198204935,California State Waters
2033,2.765677455453279,8.434509616643188,0.4292374620214105,California State Waters
2034,2.686266102759405,8.076156132798642,0.27426233571954073,California State Waters
2035,1.7160727097465451,5.42300111638382,0.29046979767736053,California State Waters
2036,2.526930499225297,8.247595214135945,0.3182168564759195,California State Waters
2037,2.4715027200703314,6.611821358706802,0.3150726449862123,California State Waters
2038,2.3174516529574545,6.622833694946022,0.3718860705941916,California State Waters
2039,2.0962686246561675,6.028300407510251,0.3424220855021849,California State Waters
2040,2.884723896813624,7.375567863546313,0.3587758796615526,California State Waters
2041,2.8568032571777167,8.255868937708438,0.3474198814015836,California State Waters
2042,2.540925330021262,7.720657172948123,0.27047810295596725,California State Waters
2043,1.9948325224700891,6.285078594963998,0.2895144802727737,California State Waters
2044,1.4481765349377698,5.689016481209546,0.15681169752031562,California State Waters
2045,1.58484445248141,5.476999632436782,0.16218184488592668,California State Waters
2046,1.950318367006702,7.000471465587616,0.18360445980448273,California State Waters
2047,2.4508027147722786,7.974165070392192,0.26304000966018065,California State Waters
2048,2.0464342478528437,6.764943930003792,0.2041061402042396,California State Waters
2049,2.3221553956556806,6.656850110646338,0.2831700280308724,California State Waters
2050,2.1838793806472885,6.726876147165895,0.3543970139604062,California State Waters
2051,2.253509682313947,7.432253870014102,0.23916679675690833,California State Waters
2052,1.9961345183602464,6.49697902103886,0.23588375197490677,California State Waters
2053,2.877333990172745,7.994276558365673,0.34074220618233086,California State Waters
2054,1.8958660419345987,6.585035568289459,0.2309627286717296,California State Waters
2055,2.3211093706507517,7.807862375024705,0.28217344768345354,California State Waters
2056,2.8274510870796137,7.583363477345557,0.36010761037468914,California State Waters
2057,2.2746306187177097,6.663907875884324,0.25234870371408763,California State Waters
2058,2.208741928643237,6.817383662108331,0.22741424861364065,California State Waters
2059,2.257561439680989,6.900589240249246,0.2813528896356002,California State Waters
2060,2.8406659634777323,8.536376534458249,0.30156488216947763,California State Waters
2061,3.0596828633579274,8.85326845439151,0.3023733879625797,California State Waters
2062,2.5081250392379197,8.138537925183774,0.24670222088228913,California State Waters
2063,2.111492458565012,7.175048574581742,0.15713224001228807,California State Waters
2064,1.9609262518519937,7.423970326744018,0.18723717829678208,California State Waters
2065,2.4772458017633205,7.607447569537908,0.3222377628809773,California State Waters
2066,2.742006638389096,8.094842381551862,0.3508306867722422,California State Waters
2067,2.2205585298159822,7.1062275147624305,0.2642272153683007,California State Waters
2068,2.84328282349204,8.343904114998876,0.3590930172940716,California State Waters
2069,1.7442238498677165,5.568047242593021,0.22092969181016087,California State Waters
2070,2.4094012639656044,7.2008369830437005,0.2228298425348476,California State Waters
2071,2.3840914886010496,7.755145896654576,0.19076869976823219,California State Waters
2072,2.0391670482259023,7.371949855349958,0.17701778621645645,California State Waters
2073,2.9335809405015136,8.59645071271807,0.31241752492263913,California State Waters
2074,2.7973553953045975,8.85825888749212,0.32765095595270394,California State Waters
2075,1.9750719442775417,6.312461843937634,0.37952978805638854,California State Waters
2076,2.195799051208687,6.836915470045059,0.3390069845691323,California State Waters
2077,2.091172694258378,6.627552813366056,0.2521568676736206,California State Waters
2078,2.086102423976177,7.640031828694045,0.21605406523449347,California State Waters
2079,1.9937585224505938,7.283505345638841,0.17747416423866522,California State Waters
2080,1.8433493673967456,6.020398742081596,0.29212774976156647,California State Waters
2081,1.9861235710828258,6.6839313409850005,0.182667150197085,California State Waters
2082,2.5050352138297263,7.812870457321407,0.23480037424247713,California State Waters
2083,1.8486406353487344,6.97083963321522,0.21660907558863982,California State Waters
2084,2.2198766420648806,7.136054432056845,0.257143131820485,California State Waters
2085,2.215844706763733,6.875177204497159,0.30582088565453885,California State Waters
2086,2.845071095040832,8.323197596985848,0.30504529490135607,California State Waters
2087,2.450309347729181,6.003180248867721,0.3807466092053801,California State Waters
2088,2.577113996690003,6.301515797320754,0.4145129483938217,California State Waters
2089,2.645297817096998,8.409398491885511,0.2866707470128313,California State Waters
2090,2.3878512017295455,7.392699159681797,0.24953599759377543,California State Waters
2091,2.4613188434168625,7.923734840136021,0.27873100693337616,California State Waters
2092,2.33304878748765,7.323012129291892,0.29509839288890366,California State Waters
2093,2.0582391197356125,6.715786712430418,0.1542322178557515,California State Waters
2094,2.357794014768403,6.123305558171125,0.2805434025637806,California State Waters
2095,2.2202197207921017,7.0061828443594285,0.24177555559668693,California State Waters
2096,2.412311432495755,7.079832305852324,0.28215245434083047,California State Waters
2097,1.4148107004389465,5.505838453397156,0.12932576282531952,California State Waters
2098,1.9077012153224466,6.760191607046871,0.1599342214176431,California State Waters
2099,3.0164773174423436,8.940192128196358,0.2888463329989463,California State Waters
2100,2.58758924733823,7.760718688070774,0.3096645766030997,California State Waters
1980,0.4472112696930074,1.0495734674111008,0.19038316477555786,Channel Islands Bioregion
1981,0.48676295660233176,1.1132550977170466,0.2510859293024987,Channel Islands Bioregion
1982,0.6085604926608861,1.463096806090325,0.28771704062819475,Channel Islands Bioregion
1983,0.6139000318370139,1.2491381824575367,0.28453490923158825,Channel Islands Bioregion
1984,0.41585575824322846,0.729216985013336,0.20224659321829674,Channel Islands Bioregion
1985,0.46301167101909724,1.0127139901183546,0.22530926138628274,Channel Islands Bioregion
1986,0.6507828123350509,1.5154966838657857,0.3270753194950521,Channel Islands Bioregion
1987,0.6056456376403236,1.3023532965220512,0.33113099823705855,Channel Islands Bioregion
1988,0.7011608610843093,1.7197228854708373,0.3787099035270512,Channel Islands Bioregion
1989,0.5350499364532506,1.2373866234906015,0.3012718014139682,Channel Islands Bioregion
1990,0.7402646318645193,1.7302859411761162,0.34555653381161383,Channel Islands Bioregion
1991,0.6255509595146689,1.2771093240007758,0.3876539747230708,Channel Islands Bioregion
1992,0.6283568451644327,1.4517883230932058,0.3772703711036593,Channel Islands Bioregion
1993,0.6202536386017424,1.3239360855706035,0.3557772125862539,Channel Islands Bioregion
1994,0.5566831180121368,1.3012563740089538,0.27898395583266394,Channel Islands Bioregion
1995,0.43367937767406545,0.8015864681266249,0.24233516310341655,Channel Islands Bioregion
1996,0.49163710368821056,1.0007232459448279,0.3050990455783904,Channel Islands Bioregion
1997,0.5948112280511608,1.2090511264465749,0.32848952278494836,Channel Islands Bioregion
1998,0.5487002076872457,1.0533524477668108,0.3268466284917667,Channel Islands Bioregion
1999,0.4852581041075516,0.8626119398325683,0.24951755851274351,Channel Islands Bioregion
2000,0.5083062536502256,1.1542961807362733,0.25818669409491124,Channel Islands Bioregion
2001,0.4550544983046487,0.8515837609767912,0.2512777182040736,Channel Islands Bioregion
2002,0.4995335928184721,0.9637541487626731,0.28754613869823514,Channel Islands Bioregion
2003,0.49627265251599834,1.0341837741620838,0.2578093902068213,Channel Islands Bioregion
2004,0.7946190945651287,1.7833560456428676,0.3777075865492225,Channel Islands Bioregion
2005,0.6382867555079074,1.5229165473673492,0.3490629052650183,Channel Islands Bioregion
2006,0.464114255919957,0.8526495076529681,0.2557043565809726,Channel Islands Bioregion
2007,0.4237829330235195,0.7754509160295129,0.21802090724930165,Channel Islands Bioregion
2008,0.5936608454527763,1.0138599469512701,0.35233865598216657,Channel Islands Bioregion
2009,0.7777949558683218,1.6763070477358994,0.4250792371854186,Channel Islands Bioregion
2010,0.6517384072857647,1.4563133191131055,0.39632960843853643,Channel Islands Bioregion
2011,0.5023910976529049,1.074154989924282,0.2914098913175985,Channel Islands Bioregion
2012,0.6616669429727019,1.4941608754638585,0.3487996468925849,Channel Islands Bioregion
2013,0.4528320454701614,0.9263923653587699,0.2337334382347763,Channel Islands Bioregion
2014,0.6103557413310194,1.269020756073296,0.3321956945303828,Channel Islands Bioregion
2015,0.5245733271826966,1.0480843868292868,0.28068723862525075,Channel Islands Bioregion
2016,0.7426083053153557,1.6946217581070961,0.3226556875370443,Channel Islands Bioregion
2017,0.7655000994450006,1.7469540786929425,0.38067345754243426,Channel Islands Bioregion
2018,0.6023887529722056,1.2443368863873183,0.35167314860969784,Channel Islands Bioregion
2019,0.5813607408108715,1.266705979797989,0.3179017616109923,Channel Islands Bioregion
2020,0.6001159624075995,1.2933108476921915,0.3694696589186787,Channel Islands Bioregion
2021,0.3891845495503945,0.7365927171334624,0.20960339055862276,Channel Islands Bioregion
2022,0.5710235675953281,1.0888292184472086,0.2832375792972744,Channel Islands Bioregion
2023,0.43424059671833404,1.000431944373995,0.217709678390529,Channel Islands Bioregion
2024,0.7138419511434265,1.780316621195525,0.34954817029647534,Channel Islands Bioregion
2025,0.4728365303006453,0.8311667428910733,0.2665268775820732,Channel Islands Bioregion
2026,0.7512506935218922,1.8247673767711972,0.3194880803488195,Channel Islands Bioregion
2027,0.6228515090313979,1.2268265481479466,0.3233351344475523,Channel Islands Bioregion
2028,0.546594814748372,1.1662149638123809,0.2927407379914075,Channel Islands Bioregion
2029,0.5405230414874566,1.0995454345829783,0.30688420825637874,Channel Islands Bioregion
2030,0.45013461196699583,0.8934358659200369,0.25136011081747706,Channel Islands Bioregion
2031,0.5517563445488206,1.127911538835615,0.29910002405289565,Channel Islands Bioregion
2032,0.8233091384107964,1.9882733700424433,0.3926403198204935,Channel Islands Bioregion
2033,0.8927965621204856,2.0588831691723324,0.4292374620214105,Channel Islands Bioregion
2034,0.5229575927700035,1.1035845011845231,0.27426233571954073,Channel Islands Bioregion
2035,0.47640876131863574,0.8620315134711564,0.29058547886321323,Channel Islands Bioregion
2036,0.5334301675519405,1.0299026259034871,0.3182168564759195,Channel Islands Bioregion
2037,0.5677246810653163,1.2776026613824067,0.3150726449862123,Channel Islands Bioregion
2038,0.686316445428902,1.7014330555498598,0.3718860705941916,Channel Islands Bioregion
2039,0.5493301072113741,1.0693357958830894,0.3424220855021849,Channel Islands Bioregion
2040,0.7393042022189221,1.5437748881522566,0.3587758796615526,Channel Islands Bioregion
2041,0.658820054384414,1.468483148626983,0.3474198814015836,Channel Islands Bioregion
2042,0.5562077003072661,1.234872782882303,0.27047810295596725,Channel Islands Bioregion
2043,0.5174500165049297,1.2037645189464092,0.2895144802727737,Channel Islands Bioregion
2044,0.34531550247887843,0.5845646546408534,0.1997254639747553,Channel Islands Bioregion
2045,0.34873060899500086,0.828459219187498,0.16247367337578908,Channel Islands Bioregion
2046,0.35436316868991785,0.7121840398572387,0.18360445980448273,Channel Islands Bioregion
2047,0.4287451576947859,0.8235824544914064,0.26304000966018065,Channel Islands Bioregion
2048,0.43603135625222844,0.9824469880759715,0.2041061402042396,Channel Islands Bioregion
2049,0.5513528158408232,1.214254525657743,0.2831700280308724,Channel Islands Bioregion
2050,0.6125365604239349,1.1211047311872244,0.3543970139604062,Channel Islands Bioregion
2051,0.4804289420685755,0.9241656899452209,0.23916679675690833,Channel Islands Bioregion
2052,0.4575720817102895,0.9086803930997848,0.23588375197490677,Channel Islands Bioregion
2053,0.7098972470419577,1.7771532022114844,0.34074220618233086,Channel Islands Bioregion
2054,0.44915927131337896,0.8621984433941542,0.2309627286717296,Channel Islands Bioregion
